NAME	TITLE	SCORE	
ENSG00000167005		0.121254206	
ENSG00000120137		0.12100758	
ENSG00000102870		0.11883377	
ENSG00000198315		0.118802175	
ENSG00000145916		0.11866327	
ENSG00000172661		0.118193075	
ENSG00000167904		0.118151516	
ENSG00000069248		0.11785879	
ENSG00000184708		0.11759292	
ENSG00000159079		0.11754596	
ENSG00000123739		0.11639387	
ENSG00000081177		0.11635085	
ENSG00000174748		0.11546048	
ENSG00000153561		0.114881605	
ENSG00000135945		0.11446357	
ENSG00000144674		0.11445281	
ENSG00000139977		0.114416726	
ENSG00000223547		0.114355505	
ENSG00000214135		0.11435381	
ENSG00000204386		0.11411734	
ENSG00000066777		0.11398651	
ENSG00000164252		0.113961905	
ENSG00000196704		0.1135636	
ENSG00000012963		0.11347906	
ENSG00000148248		0.11336936	
ENSG00000185896		0.11334689	
ENSG00000140939		0.1130341	
ENSG00000178074		0.11290367	
ENSG00000018189		0.11254126	
ENSG00000138767		0.112510756	
ENSG00000167635		0.1124653	
ENSG00000170581		0.11209687	
ENSG00000109133		0.11197302	
ENSG00000144567		0.11191311	
ENSG00000234130		0.11167678	
ENSG00000166734		0.11167459	
ENSG00000061676		0.11161992	
ENSG00000185624		0.11147328	
ENSG00000114120		0.11139046	
ENSG00000135597		0.111332476	
ENSG00000100711		0.11108574	
ENSG00000078674		0.11025742	
ENSG00000123349		0.110049196	
ENSG00000138617		0.10980012	
ENSG00000085365		0.10977536	
ENSG00000089818		0.10968654	
ENSG00000249485		0.10960754	
ENSG00000156017		0.10953119	
ENSG00000106049		0.10946539	
ENSG00000213189		0.109413184	
ENSG00000153339		0.10914426	
ENSG00000198105		0.10911691	
ENSG00000115364		0.1089903	
ENSG00000160221		0.10858888	
ENSG00000120742		0.10854978	
ENSG00000184863		0.10823932	
ENSG00000133935		0.10823679	
ENSG00000105849		0.10820017	
ENSG00000120696		0.10806443	
ENSG00000065060		0.10764252	
ENSG00000138443		0.10749993	
ENSG00000151893		0.107119165	
ENSG00000100852		0.107087925	
ENSG00000068912		0.10687932	
ENSG00000112139		0.106765576	
ENSG00000126858		0.106743485	
ENSG00000130024		0.106679015	
ENSG00000137601		0.106675506	
ENSG00000116747		0.10660484	
ENSG00000078304		0.10645794	
ENSG00000101294		0.106290706	
ENSG00000143971		0.10602632	
ENSG00000178458		0.10579972	
ENSG00000172974		0.10565823	
ENSG00000100167		0.10564138	
ENSG00000138032		0.10532427	
ENSG00000135823		0.10502868	
ENSG00000157326		0.104929514	
ENSG00000102910		0.10482811	
ENSG00000111652		0.10464074	
ENSG00000117222		0.10449914	
ENSG00000079950		0.10440294	
ENSG00000105438		0.10379422	
ENSG00000107789		0.10367375	
ENSG00000112200		0.10357315	
ENSG00000103111		0.103285596	
ENSG00000162736		0.10314267	
ENSG00000146587		0.102802575	
ENSG00000085274		0.1027897	
ENSG00000005700		0.10277526	
ENSG00000115806		0.10261355	
ENSG00000163719		0.10260339	
ENSG00000169967		0.102268115	
ENSG00000211456		0.10214433	
ENSG00000006125		0.102110855	
ENSG00000119661		0.10203136	
ENSG00000172466		0.10194516	
ENSG00000171466		0.1018263	
ENSG00000110851		0.10139316	
ENSG00000090565		0.10126192	
ENSG00000121417		0.10104709	
ENSG00000182568		0.10101527	
ENSG00000100324		0.100744456	
ENSG00000121486		0.10055155	
ENSG00000146842		0.100399025	
