"row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AKAIN1",76.5463126045619,-5.68081850757773,1.42974061591173,-3.9733210656222,7.08774076410122e-05,0.0349444271619569
"IGFL3",14.3581303914331,-5.69628015541516,1.35232564577824,-4.21221040449696,2.52883819390979e-05,0.024935675559421
"ENSG00000150526",201.959223591921,-5.71221877266965,1.3521510301085,-4.22454196718784,2.39427233342e-05,0.0249203845370131
"IGLON5",68.115998786226,-5.77531717101817,1.43744227600579,-4.0177732820451,5.87506816018477e-05,0.0323733535238417
"CCDC141",230.892796536903,-5.83033829551274,1.40974559732776,-4.13573789949365,3.53815848543587e-05,0.0323733535238417
"CPLX2",289.568749634898,-5.91413750253857,1.3109676950862,-4.51127630734617,6.4438715590284e-06,0.0150907417072996
"PTPRT",353.739853607074,-6.06742044434971,1.54344065921897,-3.93110056295913,8.4557891193509e-05,0.0386388315002534
"FBP2",208.249774864795,-6.13202074546443,1.35115738842482,-4.53834675219677,5.66969762438521e-06,0.0150907417072996
"ATP1A3",652.625554178527,-6.13319402516965,1.37309105293013,-4.46670598579871,7.94331779743326e-06,0.0165353398816569
"NEFH",355.708055391205,-6.23276658406865,1.35872950726637,-4.58720190496809,4.49226186491514e-06,0.0150907417072996
"GDA",870.128715767711,-6.28363157264787,1.53074440088805,-4.10495153142645,4.04399659662487e-05,0.0323733535238417
"PRB4",69.4653153697106,-8.03640471563156,1.99951735408924,-4.0191722763477,5.84029564670118e-05,0.0323733535238417
