"row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSS51",828.900242197453,-4.28455547085893,1.02354818444918,-4.18598316713802,2.83934391004471e-05,0.0169751231084714
"UNC13A",515.286255795199,-4.39811230146997,1.03502412057495,-4.24928483698222,2.14454085832957e-05,0.0161174159619346
"RGS4",592.234472405023,-4.41825623594397,1.06425631032385,-4.1514963952617,3.30308468383816e-05,0.0169751231084714
"GDAP1L1",56.7481557960612,-4.42201435061329,1.17018023848551,-3.77891730280494,0.000157511718445229,0.0332940394863603
"GFRA1",1183.23044788544,-4.42232432999606,1.10078238552255,-4.01743740466627,5.88344565319623e-05,0.0234091919989525
"CACNG4",153.110061388527,-4.51990688271939,1.25424468667946,-3.60368828405053,0.000313733288293399,0.04935097586085
"LINC00649",199.928876161925,-4.52451069418898,1.10475920328579,-4.0954722809569,4.21308636057198e-05,0.0201872531429989
"TMEM145",181.375869475357,-4.58251000187206,1.10183739803977,-4.15897119667984,3.19684203874587e-05,0.0169751231084714
"IGFL1",34.1030720003796,-4.64818533168657,1.14016141661557,-4.07677830871013,4.56639917463121e-05,0.0203669232633334
"PCDHA10",141.898399210092,-4.6593150164503,1.15181986525337,-4.04517681714526,5.22836474479251e-05,0.0214331267477433
"CHGB",1858.61851500747,-4.74320854201736,1.08480764315643,-4.37239594682076,1.22890391730467e-05,0.0121914404104646
"KIRREL2",90.0540188039189,-4.85401729054272,1.2667249231075,-3.83194267515868,0.000127135366642952,0.0293120904817816
"FREM1",93.1460134021042,-4.85663843954114,1.28855526960116,-3.76905714028423,0.000163865374788345,0.0339148059180958
"ENSG00000108753",120.962212399101,-4.87591191294277,1.35071679419079,-3.60986991048993,0.000306350608169785,0.0493384543716141
"INA",189.809947197216,-5.01150082879174,1.18498924007557,-4.22915302460648,2.34572756739096e-05,0.0167015802798236
"AKAIN1",76.5463126045619,-5.07914955682936,1.40814812178966,-3.60697108367699,0.000309792168666084,0.0493384543716141
"RIMS2",122.23367066121,-5.14740724936399,1.3206464140572,-3.89764224138579,9.71337705809335e-05,0.0273236867024544
"ENSG00000250533",121.397230504445,-5.1601220856429,1.23374613758051,-4.18248286941946,2.88342749946871e-05,0.0169751231084714
"WNT9B",516.611035872195,-5.25444706601136,1.19804387120778,-4.38585530320706,1.15530905677563e-05,0.0121914404104646
"ACTG2",42.5145129641222,-5.28834781131041,1.36076023009869,-3.88631861391693,0.000101775909133743,0.0273236867024544
"CHRNB2",171.414238773843,-5.38159991400953,1.3744006117628,-3.91559772889443,9.01805049632121e-05,0.027110263803163
"PXMP4",259.676420111206,-5.4027103939166,1.15456674247993,-4.67942665861996,2.87678240219534e-06,0.0065283124098033
"PTPRN",427.300887671683,-5.46980857462733,1.19818487691923,-4.56507896234786,4.99306364653797e-06,0.00750512944559618
"SIX3",191.558051863757,-5.50280411657693,1.41030686773007,-3.90184876957583,9.54607937928913e-05,0.0273236867024544
"SCG3",275.700472862229,-5.58634933724994,1.37216316890622,-4.07119901177857,4.67717685474504e-05,0.0203669232633334
"NEFH",355.708055391205,-5.58704296942091,1.34536927680651,-4.15279512156159,3.28438770280044e-05,0.0169751231084714
"FBP2",208.249774864795,-5.7286108353078,1.34672751815575,-4.25372672502655,2.10241857195598e-05,0.0161174159619346
"OGN",253.17138416096,-5.86177752035316,1.39568359676182,-4.19993294608698,2.66994038716782e-05,0.0169751231084714
"CCDC141",230.892796536903,-5.89518983185871,1.4177613776536,-4.15809735317749,3.20909266421503e-05,0.0169751231084714
"CDK5R2",68.1112731057008,-5.89692228650264,1.52039388072453,-3.87854907946125,0.000105081328268482,0.0273373117080006
"SLC12A5",57.4610794090502,-5.89832510905592,1.36981569253184,-4.3059260754664,1.66288586429625e-05,0.0149970133147998
"IGLON5",68.115998786226,-5.97742376125356,1.4418423468267,-4.14568470291433,3.38799766357723e-05,0.0169751231084714
"SHISAL1",806.334628521757,-6.02125154832018,1.30386578621677,-4.61799949961962,3.87457187499103e-06,0.00655190104060984
"PTPRT",353.739853607074,-6.05711675150071,1.54348213517474,-3.92431931245838,8.69753101306231e-05,0.0268466472735067
"CPLX2",289.568749634898,-6.11376556124907,1.31437726443191,-4.65145413473923,3.29602586739809e-06,0.0065283124098033
"ENSG00000150526",201.959223591921,-6.16679918091299,1.38200950374955,-4.4621973757646,8.11234501359122e-06,0.0109743803343862
"ATP1A3",652.625554178527,-6.46094323649891,1.37769008236461,-4.68969278301664,2.73615541927248e-06,0.0065283124098033
"GDA",870.128715767711,-6.8002055017691,1.55730578895205,-4.36664754604498,1.26168070480858e-05,0.0121914404104646
"PRB4",69.4653153697106,-7.63819769017245,1.98764920395531,-3.84282984893555,0.000121623791628491,0.0288653798798285
